,id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
53,38VTL6WC4CRH3WKU8647JSMW3GOY55##3DY4FPOOA43SR9LHQ40S4EJN2HHRVN##AISNLDPD2DFEG##Blog_262078##q2_a1##3PA41K45VPI2HM6C5CNL4L7GRXU7PA,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,Why was her nursing job deemed to be useful and worthwhile ?,Because she would take care of them if they were sick .,Because she was paid a huge amount of money .,Because she was taking care of sick people .,None of the above choices .,2,0,[-0.4673 -4.367  -1.939  -2.393 ],0,[-24.290949 -29.996494 -30.737873 -24.973557]
67,31MBOZ6PAOP38TN3K3QPBS22UHHCLX##3KKG4CDWKJW8Y779SUNJC5V7F9B495##AJ7NSZOAFP05U##Blog_418787##q1_a1##3Z56AA6EK6EDSJVUUMQ1H3DPRC46M9,Our Bassinet Basket has a Bumble Bee motif . It also includes a rocker base that comes with it ( it is not pictured because it is not assembled right now ) . The basket handle had a little wear so when we used it we wove in some ribbons to make sure that it was absolutely safe for toting our little one . We purchased the set at Village Maternity .,Where was the basket purchased ?,None of the above choices .,"At a Walmart , our little one picked it out because it had some ribbons woven onto the basket handle .",Some place with Bumble Bee in the name .,A Bassinet Basket manufacturer is where we purchased it .,0,3,[-2.264 -5.207 -3.166 -1.207],2,[-25.843855 -30.772007 -24.277344 -26.956959]
76,34D9ZRXCYT8HDGK24W3Z9HEHFUOSAT##3LYA37P8IT2RVRAGV30V2Q328ERKB3##A2KYOM2ZGYDJGT##Blog_1579723##q1_a1##3WPCIUYH1CMGQN0TD6ZR9NI92KNTDH,"From the second we know each other ; we seem to know each other before we had born . We have millions and thousands of words to share within our little planet . We study , fool around and do window - shopping together . We loved to go to concert when we had extra cash .",Why did they study ?,because we had extra cash,because they had a test,because of our little planet,None of the above choices .,1,3,[-5.547 -5.547 -6.95  -4.035],3,[-30.603077 -32.109673 -31.647083 -27.338442]
80,30Z7M1Q8U0YZUW5TQYXUSQEH4938AG##3OF2M9AATJ3NDPDW1HGYO8A50DRZKV##A3GVXFBYAU9HP##Blog_1124475##q1_a2##3BFNCI9LYM4VAX1P7EQERI4GNOG73P,"Having got back from a busy Christmas all over the country , Sara decided to take some initiative and rip up the kitchen floor ! Parts of it have been peeling up intermitently for a while , but after we left the fridge defrosting while we were away a lot more of it had come up . So we both got down and dirty and ripped the rest of the ( disgusting ) old parke flooring up - parke flooring which had been glued to the old vinyl and then glued to the floor . Needless to say it was quite hard to get off ... !",Why are we ripping the disgusting old parke flooring up ?,"We want to put green , recycled flooring in that might peel up .",We want to fix the old flooring so it does n't peel up anymore .,We want a floor that will look pleasant because it peels up .,We want a floor that wo n't look disgusting because it peels up .,3,1,[-1.785  1.123 -5.613 -5.52 ],1,[-28.87553  -25.040722 -29.208897 -26.914158]
85,35JDMRECC6NHDOSNP1B4GML5CWUEGO##3RXCAC0YIU43R7GQ20V6DWL8TG58GJ##A33PQXKQHFVF3V##Blog_953184##q1_a1##3PIOQ99R7004CC6V2534AOG5Z1CUN5,"I had a cupcake for breakfast today . Last night I had my traditional Monday night get - together ; there were cupcakes . I usually plan my week so that my "" cheat "" will be the dessert on Monday nights ( unless it 's ice cream ) , so I was n't bothered . However , they packed one extra cupcake into a baggie ( like an illicit drug .","Why am I planning meals with a "" cheat "" in them ?",None of the above choices .,"My wife and I are swingers and some nights at dinner we "" cheat "" .","I am a recovering alcoholic and sometimes I "" cheat "" with an illicit drug .","I am lactose so sometimes I "" cheat "" and eat ice cream .",0,1,[-3.617    0.05093 -4.37    -5.92   ],1,[-27.12021  -25.089275 -29.693806 -26.121647]
94,3MIVREZQVJCBCDEBOJRJ8V2C2GYQKE##3WQQ9FUS6D970Q8FME3SCLUBD2RB8H##AJ7NSZOAFP05U##Blog_415003##q1_a1##337F8MIIM1R2AIK9MTAOM8MYSVE04E,It 's like he got scared of me because I was hurt . Why would he get scared if he likes me ? ? ? I do n't understand how I caused him to not like me anymore . I was even more hurt that he do n't want me anymore .,What may have caused him to be scared ?,He likes me .,I was injured .,He was injured .,None of the above choices .,1,0,[ 0.3286 -3.074  -3.227  -1.458 ],0,[-25.565294 -28.118898 -27.982683 -25.785305]
97,3OYHVNTV5VC8R11V96ZFJQ7DOQ1KOA##3HYA4D452UYMRSI6BZGNLK8T78U2F7##A2MHM7JK1T9XHR##Blog_841139##q1_a1##3X2LT8FDHYWW198WR3TMAFB8W1H8WK,"On Saturday we went to Disney . Since titi Josie works there , she got us free passes . They were the park hopper type , and we went to the Hollywood place , Epcot , and Magical Kingdom ( which I still always accidentally call "" Animal Kingdom ' ) . Tower of Terror is not terrifying at all .",What city are we visiting ?,Anaheim,Orlando,None of the above choices .,Tokyo,1,0,[-0.4155 -2.164  -2.303  -6.02  ],2,[-28.73199  -25.930748 -25.837955 -29.690403]
108,3R5OYNIC2C7ALV4CYHEMHJBQNTXPT2##30BUDKLTXET7PM2QEAMF9B2W84CE5Q##AJ7NSZOAFP05U##Blog_655627##q1_a1##3WYZV0QBFLRUS7BT4K9I30FFCPMXB8,"About a month later , I shot up 20 lbs over a two week period . I was dieting and exercising at the time , so I checked my weight weekly . Nothing was wrong with the scale , I ' ve checked it elsewhere and everyone else in my house has used it and seen no changes .",What may have caused you to gain 20 lbs ?,I stopped exercising at the time .,I ca n't determine the reason .,I messed up my diet .,Something was wrong wit the scale .,1,3,[-1.602 -1.456 -1.223 -1.015],2,[-30.050875 -23.276772 -20.380716 -22.003706]
113,3V0TR1NRVA0JH6JKUXVHJGA38AHA4G##34Q075JO1YB9AEMD5GLOLWNB23B10J##AJ7NSZOAFP05U##Blog_787277##q1_a1##3MXX6RQ9EXJ5YZOT3EPE19N6002P4G,"THEN at midnight or so started a 9x12 foot painting to go on the truck the following day ( I ' ve done one on the theme for burning man each of the last 5 years , did n't want to break the trend yet : ) Sunday : Finished painting at 6 am . Slept almost 5 hrs , then grommeted painting out in the hot sun and set out to help load the truck . It started to rain just as i got there , and POURED on and off all afternoon . Still , saw lovely people , and gained much glory lifting heavy things and playing truck tetris .",What may be your reason for making the 9x12 painting ?,I wanted to impress people with the painting .,I wanted to commemorate an event .,None of the above choices .,It was being made for an event .,3,1,[-3.027  8.32  -1.82   4.508],1,[-26.340265  -9.184438 -26.704521 -15.950781]
124,3TC2K6WK9G0VV4BITLSFUA7AYVO82R##3C44YUNSI2N6QQ692UK91ZPSX6SPD0##AO33H4GL9KZX9##Blog_1238109##q1_a1##35YHTYFL1IHS1ZIE97UWY59FB61FVO,On Sunday we went canoeing and kayaking on the river . We chose to go upstream which was also against the wind . We stopped on an island in the middle of the river and had lunch snacks there .,What must true of how fast the river flowed ?,The river could not have flowed faster than we could row downstream .,The river could have flowed faster than we could row upstream .,The river could not have flowed faster than we could row upstream .,None of the above choices .,2,3,[-2.598 -3.19  -2.41  -2.402],1,[-27.631607 -26.298384 -27.731722 -27.509392]
129,3VJ4PFXFJ35IY4DZ93MZWK8X75PAUN##3EJJQNKU9S38EJRQ1I7OXF45PR4HR9##A2LTOS0AZ3B28A##Blog_212243##q1_a2##35XW21VSVISY9ZB61NSPIVUS9WBSLF,"So I took Mom out to dinner for Mother 's Day tonight ( since I 'll be busy tomorrow with Sam coming back from New Brunswick ) , after finally managing to get her to choose what sort of food she actually wanted to eat . We went to the Fish Market in Byward , somewhere I 'd always wanted to try , and it turned out rather well all told . I liked my blackened Cajun swordfish , and it was very generously seasonedThe Market in general was bustling , even more than I expected for a Saturday night in May. I guess this winter gave the entire city an acute case of cabin fever .",Why did they take their mom out to eat ?,None of the above choices .,They could n't decide what to eat at home .,They wanted to go watch people at the Market .,Mom wanted to eat Fish and they took her out .,3,0,[-2.738 -3.66  -5.8   -3.1  ],1,[-25.631641 -21.325369 -32.03423  -22.385315]
130,3VJ4PFXFJ35IY4DZ93MZWK8X75PAUN##3EJJQNKU9S38EJRQ1I7OXF45PR4HR9##A2LTOS0AZ3B28A##Blog_212243##q2_a1##3YCT0L9OMONOXZERD084VNYHERBNSC,"So I took Mom out to dinner for Mother 's Day tonight ( since I 'll be busy tomorrow with Sam coming back from New Brunswick ) , after finally managing to get her to choose what sort of food she actually wanted to eat . We went to the Fish Market in Byward , somewhere I 'd always wanted to try , and it turned out rather well all told . I liked my blackened Cajun swordfish , and it was very generously seasonedThe Market in general was bustling , even more than I expected for a Saturday night in May. I guess this winter gave the entire city an acute case of cabin fever .",Where did they decide to go to eat ?,None of the above choices .,Fish Market in Byward since they always wanted to try it .,"Mom could n't make a decision , so they went back home .",They went to New Brunswick to eat with Sam .,1,0,[-2.979 -4.176 -3.215 -4.008],2,[-25.911491 -24.1477   -23.099447 -32.18268 ]
131,3VJ4PFXFJ35IY4DZ93MZWK8X75PAUN##3EJJQNKU9S38EJRQ1I7OXF45PR4HR9##A2LTOS0AZ3B28A##Blog_212243##q2_a1##3IQ9O0AYW8DXYYGF5K020KYMUBVITG,"So I took Mom out to dinner for Mother 's Day tonight ( since I 'll be busy tomorrow with Sam coming back from New Brunswick ) , after finally managing to get her to choose what sort of food she actually wanted to eat . We went to the Fish Market in Byward , somewhere I 'd always wanted to try , and it turned out rather well all told . I liked my blackened Cajun swordfish , and it was very generously seasonedThe Market in general was bustling , even more than I expected for a Saturday night in May. I guess this winter gave the entire city an acute case of cabin fever .",Where did they decide to go to eat ?,None of the above choices .,At the Market so they could eat blackened Cajun swordfish .,They went to New Brunswick to eat with Sam .,"Mom could n't make a decision , so they went back home .",1,0,[-2.979 -3.213 -4.008 -3.215],3,[-25.911491 -31.106281 -32.18268  -23.099447]
133,32K26U12DNMG9Q5BY3N6I7IM6LEVDU##3M1CVSFP613TSV4CIX8WB37WH52AQ7##A1OPGPTQJ48XOY##Blog_1536504##q1_a1##375VSR8FVYN6D9SX1ZJT000U26FZR2,"today was my first real day of going over a few poems for my senior projects . not too bad , although there are things i really to consider . i ' m tireddd , but i know i should at least write something for the night so i ' m about to start . apart from this nothing much is going on except that our economy is shot to shit and andy is wondering how william and i are going to afford to have a wedding.i finally read the joyluck club and i loved it .",What will happen if you are unable to have a wedding ?,We will have to break off our engagement because we are not financially stable enough to get married,We will have to postpone getting married until we can afford a wedding,"We will have a smaller thing and save money instead , like getting married at town hall",We will have to borrow from friends and family to pay for a wedding,2,0,[ 3.213 -1.155 -1.426 -2.295],0,[-17.85635  -23.13628  -26.584965 -20.33921 ]
141,3K3G488TR26T05U1XYBDE8VMCRGQ5W##3634BBTX0PSB7OX1G5PFG2R1PDWFIQ##A3GVXFBYAU9HP##Blog_151180##q1_a1##3WGZLY9VCJ0XS385A8OWIRMMO3I8DF,"I think that before my life revolved around books and writing . Then I hit the real world and now with a job and classes ... I just do n't have the energy to use my imagination . I still miss it though . I do n't want to be a professional ( not that I could ) , but I did really enjoy it .",Why do n't I have the energy to use my imagination to write anymore ?,"I got a full time job and work a lot , so I am busy and tired .","I had to get two jobs and work constantly , so I am busy all the time .","I started college and have a lot of homework , so I am busy and tired .","I started college classes and got a part time job , so I am busy all the time .",3,0,[3.516  0.8745 3.139  1.559 ],2,[-13.859129 -16.341734 -13.47456  -13.937119]
150,3WGZLY9VCHKIYE9YQACWQTYEVOBD87##3CN4LGXD5YMNZ8FH06FZBMOYPFV4YO##A394JO4NEPCY3M##Blog_818163##q1_a1##3SD15I2WD48C6XNKO4LML44JRQB36O,"At some point , I can finally see the doors - those three women are getting on the bus . Then , the doors close . The bus is full . Got ta wait for the next one . At that point , I just had to give up .",What may have happened if three women had not gotten on the bus ?,They would have caught that bus,They would n't have caught that bus,None of the above choices .,The bus would have been full,0,1,[-0.2942  1.121  -2.066   0.6167],3,[-27.645924 -19.896826 -24.915518 -19.359892]
158,33KGGVH24UFELKUUIP4T5QEYX25X11##3IGI0VL648IXR2LLCOLX84WW2TGNOU##A2KYOM2ZGYDJGT##Blog_1042467##q1_a1##374UMBUHN736LVUFDA4GPH0RHC9TCZ,"They were beautiful lamps but the switch on one of them melted a while back . While they changed the switch for us , one of the lamp shades cracked one night last week , so we decided to get something totally different . They were n't the most stylish but given our bad experience with the stylish and expensive lamps , these would do for now : We had dinner at James Street Market , followed by Campos for coffee and cake . Campos is suppose to make the best coffee in Brisbane .",Why might the switch have melted ?,One of the lamp shades cracked .,It was attached to a beautiful lamp .,It got too hot .,None of the above choices .,2,0,[ 1.578   -4.734   -0.05658 -2.043  ],0,[-22.517712 -25.440985 -24.070343 -26.679966]
160,3P6ENY9P7BA7TPPK5QJDM1VZK0YHI8##3B1NLC6UG2BOXZF7OHXHZIGYJX7PG1##AJ7NSZOAFP05U##Blog_755371##q1_a1##3HUR21WDDW3Q5F44ECN2BBDHYIQYXH,"Okay ... here 's the meeting you DEFINITELY do n't want to miss . Next Thursday ( August 14 ) we will be hosting an official blogger 's feast at a storied location in West Tennessee . All bloggers , readers , and lurkers are invited ... come one , come all ! The meal and brain - stretching conversation will begin at 11:00 AM .",What might be true about the event on August 14th ?,None of the above choices .,It was hosted to stimulate brain - stretching conversation .,It was hosted for online content readers .,It was hosted so people could learn about blogging .,0,2,[-1.748 -4.42   0.543 -0.538],2,[-25.586582 -26.642384 -13.81595  -17.464018]
170,3JU8CV4BRLAU83Z420SNN953O51OP4##3DR23U6WE6C9AODGF64DCR8ALV8ET0##A1S1K7134S2VUC##Blog_253436##q1_a1##3PKJ68EHDPA3O09QN84DY2AYWWQJHK,Maria and I had a bad accident coming home last night . I have bruises and scrapes . Maria potentially has a fracture in her tailbone . We are both lucky to be alive at all .,Why does Maria have to go to the doctor ?,To check that she is still alive .,"Coming home , she felt like visiting the doctor .",None of the above choices .,She was lucky to come home last night .,2,0,[ 2.072 -3.43   0.671 -2.266],0,[-24.759377 -30.166904 -25.75047  -30.644924]
176,3Q7TKIAPOT8DDLTHKZL0VYKKFOYLDP##3A7Y0R2P2PMO2L8SYHG1YA6840QJXA##AJ7NSZOAFP05U##Blog_665743##q1_a1##31N9JPQXIRWZ7Q0B26W5R9RF5JDHNA,"Realizing that maybe I should have been more outgoing and explored more instead of hiding around in my little room . If Laura had n't dragged me to the plantations , vet school , art museum , and other places , the only places I would have seen would have been the places I had to go ( dorms , classrooms , eating place , etc).But I think the things I did n't foresee , are perhaps , even more meaningful . Going home , and realizing that everything seemed kind of strange .",What do you love about Laura ?,"Laura prevented me from going to vet school , which I would 've hated .",None of the above choices .,Laura is outgoing and explored more than I did ..,Laura helped me when I was going home .,1,0,[-2.564 -4.68  -5.895 -5.6  ],2,[-28.876345 -26.769136 -19.168991 -28.383898]
177,3TTPFEFXCTIC6GVCJRYOX0HLHKH6HO##3PM8NZGV8ZE5O8C5T70AVBIUISQXQH##A394JO4NEPCY3M##Blog_1422393##q1_a1##3IHWR4LC7FRE0EOR2MP79O2ZG1PI8C,"After , I had to take him over there so she could see him and then she was fine . She adores him . Speaking of my littest monkey - I 'd like the retract the statement that she will turn me gray by two and change it to she will turn me WHITE by two . An example and a damn good safety lesson for us ... We got home and Brad carried her into the kichen in the bucket seat .",What can be assumed about the narrator 's child ?,None of the above choices .,They are a difficult child to raise,They are not a difficult child to raise,They are over the age of two,1,2,[-0.2815  0.8784  5.547   3.648 ],3,[-25.318363 -22.196995 -22.844624 -21.456375]
189,3WRBLBQ2GTMIMYDTHUCPVXJ1IQOG0Y##37ZHEEHM6Z1YXHZJXGWGG204D3I37U##A3GVXFBYAU9HP##Blog_1240722##q1_a2##3A9LA2FRWUS4JKEF4CJEPBID76EXHJ,"But cutting her down , right when she was so scared , right when she was so weak , would n't be what he needed . He needed her to be strong , resilient , ready to face death in the eyes , and not blink . When she was restored to the brilliant , breath - taking woman that she had been when she had entered her apartment three days ago , then she would be worthy of hunting and cutting down .",Why does the speaker want to hunt and cut down this woman ?,The speaker is charmed by the woman .,The speaker is angry at the woman .,The speaker is pleased with the woman .,The speaker is grateful to the woman .,1,3,[-5.465  -6.08   -3.684   0.3452],0,[-15.200514 -30.702349 -24.421095 -23.440346]
193,386T3MLZLNTOZU84EYO1BMEV1A108M##3PXX5PX6LYW6OP2NZFB6GECXXX8ABO##A394JO4NEPCY3M##Blog_1498660##q1_a1##34R0BODSP3DJXR3385SDCPUGMPV5EG,He and I are on a bowling team together because he said he wanted me to because i m really funny and fun . He drives by my house everyday when he has a different bowling league and honks the horn or texts me to go outside . He always smiles at me and says my name to me in the halls . He is always making fun of me for little things but joking around with me .,What may be different if the narrator was n't funny and fun ?,He would want them on the bowling team,None of the above choices .,He would drive by and honk or text,He would smile and joke with them,1,3,[-3.822  -2.625  -4.54   -0.4546],3,[-28.512936 -26.654163 -28.942307 -23.921885]
199,3R15W654VF7MWJWT9J3KNVFRR5MQLE##3WEV0KO0OP7IY7L8E803O2ICR97DS6##A394JO4NEPCY3M##Blog_1516691##q1_a1##37J05LC5AZXMCK4O1CLN7HV04FMDJG,"It 's one 's tangible representation to others . You need not be gorgeous to look good . I guess the effort to be clean , healthy and to carry a positive outlook is enough to exude the look that you are taking care of yourself . Some work their tushies off the gym to get Madonna muscles , stone abs and rock - hard butts . I admire women who have the patience to sweat it all out just to achieve their desired shape .",What might be true about the narrator ?,They do not have the patience to sweat it all out,None of the above choices .,They spend many hours at the gym,They have the patience to sweat it all out,0,2,[-3.92   -2.229  -0.3828 -4.047 ],2,[-32.32829  -25.685091 -22.189556 -27.997421]
207,3A520CCNWNY198GDJ37US2MULQ1AEU##3AZHRG4CU5I5KH0SSKZ79P28ZB5031##A394JO4NEPCY3M##Blog_460331##q1_a2##35NNO802AXAZ3LBV8OEQRLSU5Z7NIU,"Then together with many others , Gabriel and I went to attend the Friendship Lunch @ Excelsior Hotel . The food was soso only and we were seated together with some of the senior folks . Haha we were the only 20-somethings at that table and so they inevitably started teasing both of us . Haha then the wives entertained us with their cooking recipes and some taitai - talk .",What might have been different if they were not seated with seniors ?,They would have gotten cooking recipes,They would not have gotten cooking recipes,They would have gotten teased,They would not have gone to the fellowship lunch,1,2,[-3.453 -1.485 -0.677 -1.2  ],3,[-25.762156 -22.682632 -24.601591 -19.78456 ]
209,38B7Q9C28G3JRADTLFAWKJJXY1Q966##3R2UR8A0IBE23WZPEU8666NU3WXOXZ##A2KYOM2ZGYDJGT##Blog_469998##q1_a1##3H1C3QRA03X4WCCINFFLQV0QEWOCEI,"Suddenly , the helper guy changed the movie to another one .. with the first one remaining incomplete . A man who was very interested in the movie protested and asked the helper why he did so .. the helpers reply ... thrs a carbon deposit on the CD ... so it wo nt work . The man sat down without saying another word and i was smiling inside . Doctors are considered to be extremely intelligent people and i agree to that ... my father being one ... .but their intelligence fails when they work with something electronic .",Why did the helper guy change the movie to another one ?,The writer 's father is a doctor,The man who was very interested in the movie protested,There was a carbon deposit on the CD,Doctors are extremely intelligent,2,0,[-0.7227 -4.08   -2.277  -2.518 ],0,[-24.148708 -28.877686 -25.091333 -29.653963]
211,3TKXBROM5T8OQ6L39SAY6GN539CIJ7##3FQ5JJ512MME1B06EWT41NFNI0KNKC##A2KYOM2ZGYDJGT##Blog_987530##q1_a1##37G6BXQPLSZ8QDM1SXGGA0P7IJIQEA,"There was no way some of these people were going to make it out without help ... and oxygen . Here are some pics of the canyon . I must say , that although the Grand Canyon was large , it was my least favorite of the parks . I am also a little desensitized , but all the other parks had a uniqueness to them , where this is just a big hole .",What 's a possible reason why there was no way some of the people were going to make it out without help ?,Because the Grand Canyon is large .,Because they needed oxygen .,Because they were out of shape .,None of the above choices .,2,3,[-2.826   0.1775 -1.947   0.4485],3,[-28.979485 -28.31822  -27.851236 -25.001097]
212,3Y7LTZE0YV0YT1KE5TEY5BNE983UZR##39LNWE0K4XBFLVTYVRWEU0GD577IUT##A2KYOM2ZGYDJGT##Blog_472538##q1_a1##3N3WJQXELU4540U878DJRDHOBF72L7,"Me and Alex went Subway after , they burnt our bread a bit . The one in London did the same . I think i might try and get different things at Subway just to try them . But normally when it comes to deciding what to get i get something i have had before , just because i know it is nice .",Why did they burn our bread ?,I was with Alex .,None of the above choices .,I might try and get different things at Subway .,Because they did n't toast it properly .,3,0,[-0.1079 -2.     -3.244  -0.2141],0,[-20.97052  -26.89553  -28.689806 -25.41776 ]
