id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
38VTL6WC4CRH3WKU8647JSMW3GOY55##3DY4FPOOA43SR9LHQ40S4EJN2HHRVN##AISNLDPD2DFEG##Blog_262078##q1_a1##36BTXXLZ2XMQAC48G6T364NL1DS4RF,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,What would happened if she could not find a daycare ?,She would take the baby to work .,She would have to quit her job .,None of the above choices .,She would leave the baby alone at home .,1,1,[-4.44   -0.5303 -2.488  -2.137 ],3,[-30.461655 -23.47872  -25.918108 -19.920767]
38VTL6WC4CRH3WKU8647JSMW3GOY55##3DY4FPOOA43SR9LHQ40S4EJN2HHRVN##AISNLDPD2DFEG##Blog_262078##q1_a2##33P2GD6NRP6YZKF85T4PZHABBQKHKL,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,What would happened if she could not find a daycare ?,She would try to find a babysitter .,She would take the baby to work .,None of the above choices .,She would leave the baby alone at home .,0,3,[-4.035 -4.44  -2.488 -2.137],3,[-22.935982 -30.461655 -25.918108 -19.920767]
38VTL6WC4CRH3WKU8647JSMW3GOY55##3DY4FPOOA43SR9LHQ40S4EJN2HHRVN##AISNLDPD2DFEG##Blog_262078##q2_a1##3X4Q1O9UBJ0KWMUBQCA6FL2QHSY7OT,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,Why was her nursing job deemed to be useful and worthwhile ?,Because she would take care of them if they were sick .,Because she was helping people with health issues .,Because she was paid a huge amount of money .,None of the above choices .,1,1,[-0.4673  3.4    -4.367  -2.393 ],0,[-24.290949 -30.054287 -29.996494 -24.973557]
38VTL6WC4CRH3WKU8647JSMW3GOY55##3DY4FPOOA43SR9LHQ40S4EJN2HHRVN##AISNLDPD2DFEG##Blog_262078##q2_a1##3PA41K45VPI2HM6C5CNL4L7GRXU7PA,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,Why was her nursing job deemed to be useful and worthwhile ?,Because she would take care of them if they were sick .,Because she was paid a huge amount of money .,Because she was taking care of sick people .,None of the above choices .,2,0,[-0.4673 -4.367  -1.939  -2.393 ],0,[-24.290949 -29.996494 -30.737873 -24.973557]
33NKDW9FFXGY8N4SYMTDMMXP127XC8##3RKNTXVS3NWM3QHEK01J806RMBKA4M##A1OPGPTQJ48XOY##Blog_1569037##q1_a1##3O0M2G5VC8GK6C8MMPTHFJNRVUL942,"Also , if he were to clean the interior first , he wud hafta remove the body kits and put them aside as the interior is the hardest part of any vehicle wash , having to remove oil , dirts , grease and what - nots . Soon , he stepped up to do the spray job first . Everything seemed well as he was left to spray the finished smooth surface . He began spraying right under the sun .",Why does he feel that he must perform the spray job while the sun beats down ?,None of the above choices .,The sun assists in warming the paint so it is easy to apply,The sun keeps the paint from spilling off the car,The sun dries the paint which is sprayed on quickly,3,3,[-2.65   1.396  1.705  2.736],1,[-26.229937 -23.255592 -27.003553 -25.780416]
3UUSLRKAUNHTSP3M03WQ4RQRDA1D74##3CFJTT4SXW5DNKH2IJ33K82TWAQI7Y##A2KYOM2ZGYDJGT##Blog_1347669##q1_a1##3SU800BH886PF9JNIXVLEIBA4AIQU3,Well my first entry in my online super duper secret private public journal . I picked a hell of a first day to write in this thing considering nothing happened today . I did n't have to work i just had class from 9:30 to 5:00 . Well i had class from 9:30 to 11:00 and then 2:00 to 5:00 and had like three hours to kill between them .,Why did the writer not have to work ?,Because they picked a hell of a first day to write .,None of the above choices .,Because they were n't scheduled to work at that time .,Because it 's their first entry in their online super duper secret private public journal .,2,2,[-7.098 -1.558  2.748 -5.305],3,[-31.06451  -25.956486 -23.577105 -22.139008]
31MBOZ6PAOP38TN3K3QPBS22UHHCLX##3KKG4CDWKJW8Y779SUNJC5V7F9B495##AJ7NSZOAFP05U##Blog_418787##q1_a1##3Z56AA6EK6EDSJVUUMQ1H3DPRC46M9,Our Bassinet Basket has a Bumble Bee motif . It also includes a rocker base that comes with it ( it is not pictured because it is not assembled right now ) . The basket handle had a little wear so when we used it we wove in some ribbons to make sure that it was absolutely safe for toting our little one . We purchased the set at Village Maternity .,Where was the basket purchased ?,None of the above choices .,"At a Walmart , our little one picked it out because it had some ribbons woven onto the basket handle .",Some place with Bumble Bee in the name .,A Bassinet Basket manufacturer is where we purchased it .,0,3,[-2.264 -5.207 -3.166 -1.207],2,[-25.843855 -30.772007 -24.277344 -26.956959]
34D9ZRXCYT8HDGK24W3Z9HEHFUOSAT##3LYA37P8IT2RVRAGV30V2Q328ERKB3##A2KYOM2ZGYDJGT##Blog_1579723##q1_a1##3WPCIUYH1CMGQN0TD6ZR9NI92KNTDH,"From the second we know each other ; we seem to know each other before we had born . We have millions and thousands of words to share within our little planet . We study , fool around and do window - shopping together . We loved to go to concert when we had extra cash .",Why did they study ?,because we had extra cash,because they had a test,because of our little planet,None of the above choices .,1,3,[-5.547 -5.547 -6.95  -4.035],3,[-30.603077 -32.109673 -31.647083 -27.338442]
30Z7M1Q8U0YZUW5TQYXUSQEH4938AG##3OF2M9AATJ3NDPDW1HGYO8A50DRZKV##A3GVXFBYAU9HP##Blog_1124475##q1_a2##3BFNCI9LYM4VAX1P7EQERI4GNOG73P,"Having got back from a busy Christmas all over the country , Sara decided to take some initiative and rip up the kitchen floor ! Parts of it have been peeling up intermitently for a while , but after we left the fridge defrosting while we were away a lot more of it had come up . So we both got down and dirty and ripped the rest of the ( disgusting ) old parke flooring up - parke flooring which had been glued to the old vinyl and then glued to the floor . Needless to say it was quite hard to get off ... !",Why are we ripping the disgusting old parke flooring up ?,"We want to put green , recycled flooring in that might peel up .",We want to fix the old flooring so it does n't peel up anymore .,We want a floor that will look pleasant because it peels up .,We want a floor that wo n't look disgusting because it peels up .,3,1,[-1.785  1.123 -5.613 -5.52 ],1,[-28.87553  -25.040722 -29.208897 -26.914158]
3H4IKZHALBGCNXNFL6FI4V03YNBNNM##39U1BHVTDMP60QXJQMNHT04DWC5T3P##A2KYOM2ZGYDJGT##Blog_703062##q1_a1##3WPCIUYH1CMGQN0TD6ZR9NI92BATDM,"I did n't have a house key , either . I think it was winter and I was very cold . I kept walking from the backdoor to the front door hoping that one of them would miraculously become unlocked .",What 's a possible reason the writer did n't have a house key ?,None of the above choices .,Because they forgot to bring it with them .,Because it was winter and very cold .,Because they kept walking from back door to front door .,1,1,[-0.8447  2.05   -1.192  -3.756 ],2,[-24.928257 -23.999695 -20.553242 -29.861643]
3XBXDSS888HRBRYYBZMCP5NCVZ5LX8##3R6P78PK7L97U297L1U1CUTMZNXTGV##AO33H4GL9KZX9##Blog_1107912##q1_a1##3P7QK0GJ3VZP9PBCM94SZSSMQBL2Z6,"Friday , August 22nd . I had not idea how i was going to do in the final exams that day since i did not studied the day before , but i did very well . i was very tired but after school i went home and did nothing but rest about 10 minutes after somoeone called and i could not fall asleep again . i stood home all day .",What semester might have I been attending prior to the final ?,I must have attended a spring quarter .,I must have attended a summer semester .,I must have attended a fall semester,None of the above choices .,1,1,[-1.627  0.213 -0.526 -1.206],2,[-22.088205 -17.908504 -17.079393 -25.363565]
35JDMRECC6NHDOSNP1B4GML5CWUEGO##3RXCAC0YIU43R7GQ20V6DWL8TG58GJ##A33PQXKQHFVF3V##Blog_953184##q1_a1##3PIOQ99R7004CC6V2534AOG5Z1CUN5,"I had a cupcake for breakfast today . Last night I had my traditional Monday night get - together ; there were cupcakes . I usually plan my week so that my "" cheat "" will be the dessert on Monday nights ( unless it 's ice cream ) , so I was n't bothered . However , they packed one extra cupcake into a baggie ( like an illicit drug .","Why am I planning meals with a "" cheat "" in them ?",None of the above choices .,"My wife and I are swingers and some nights at dinner we "" cheat "" .","I am a recovering alcoholic and sometimes I "" cheat "" with an illicit drug .","I am lactose so sometimes I "" cheat "" and eat ice cream .",0,1,[-3.617    0.05093 -4.37    -5.92   ],1,[-27.12021  -25.089275 -29.693806 -26.121647]
3MIVREZQVJCBCDEBOJRJ8V2C2GYQKE##3WQQ9FUS6D970Q8FME3SCLUBD2RB8H##AJ7NSZOAFP05U##Blog_415003##q1_a1##337F8MIIM1R2AIK9MTAOM8MYSVE04E,It 's like he got scared of me because I was hurt . Why would he get scared if he likes me ? ? ? I do n't understand how I caused him to not like me anymore . I was even more hurt that he do n't want me anymore .,What may have caused him to be scared ?,He likes me .,I was injured .,He was injured .,None of the above choices .,1,0,[ 0.3286 -3.074  -3.227  -1.458 ],0,[-25.565294 -28.118898 -27.982683 -25.785305]
3OYHVNTV5VC8R11V96ZFJQ7DOQ1KOA##3HYA4D452UYMRSI6BZGNLK8T78U2F7##A2MHM7JK1T9XHR##Blog_841139##q1_a1##3X2LT8FDHYWW198WR3TMAFB8W1H8WK,"On Saturday we went to Disney . Since titi Josie works there , she got us free passes . They were the park hopper type , and we went to the Hollywood place , Epcot , and Magical Kingdom ( which I still always accidentally call "" Animal Kingdom ' ) . Tower of Terror is not terrifying at all .",What city are we visiting ?,Anaheim,Orlando,None of the above choices .,Tokyo,1,0,[-0.4155 -2.164  -2.303  -6.02  ],2,[-28.73199  -25.930748 -25.837955 -29.690403]
3MXX6RQ9EV3Q4APMJGDE9BZY7UH4PM##3Z3ZLGNNSJST8A5R9ITMOVTQDBUQ39##A2KYOM2ZGYDJGT##Blog_802929##q1_a1##391JB9X4Z0MKRYGJWQK2RMI7SFBMKX,"This past weekend was full of challenges . Our truck broke down a few miles into the five hour drive , and we ended up with practically an entire day sweating in the desert heat . We finally gave in and decided to get a rental car to take us the rest of the way .",What 's a possible reason the truck broke down ?,Because they were a few miles into the five hour drive .,Because it is in need of repair .,Because they were sweating in the desert heat .,None of the above choices .,1,1,[-5.16    0.7974 -4.383  -2.182 ],3,[-31.60689  -25.487324 -30.263502 -24.3128  ]
3R5OYNIC2C7ALV4CYHEMHJBQNTXPT2##30BUDKLTXET7PM2QEAMF9B2W84CE5Q##AJ7NSZOAFP05U##Blog_655627##q1_a1##3WYZV0QBFLRUS7BT4K9I30FFCPMXB8,"About a month later , I shot up 20 lbs over a two week period . I was dieting and exercising at the time , so I checked my weight weekly . Nothing was wrong with the scale , I ' ve checked it elsewhere and everyone else in my house has used it and seen no changes .",What may have caused you to gain 20 lbs ?,I stopped exercising at the time .,I ca n't determine the reason .,I messed up my diet .,Something was wrong wit the scale .,1,3,[-1.602 -1.456 -1.223 -1.015],2,[-30.050875 -23.276772 -20.380716 -22.003706]
3V0TR1NRVA0JH6JKUXVHJGA38AHA4G##34Q075JO1YB9AEMD5GLOLWNB23B10J##AJ7NSZOAFP05U##Blog_787277##q1_a1##3MXX6RQ9EXJ5YZOT3EPE19N6002P4G,"THEN at midnight or so started a 9x12 foot painting to go on the truck the following day ( I ' ve done one on the theme for burning man each of the last 5 years , did n't want to break the trend yet : ) Sunday : Finished painting at 6 am . Slept almost 5 hrs , then grommeted painting out in the hot sun and set out to help load the truck . It started to rain just as i got there , and POURED on and off all afternoon . Still , saw lovely people , and gained much glory lifting heavy things and playing truck tetris .",What may be your reason for making the 9x12 painting ?,I wanted to impress people with the painting .,I wanted to commemorate an event .,None of the above choices .,It was being made for an event .,3,1,[-3.027  8.32  -1.82   4.508],1,[-26.340265  -9.184438 -26.704521 -15.950781]
3S1WOPCJFGRCA1JHD9K7L1PDBM5EJ6##3KB8R4ZV1F57YGFQLF3GC0N0VWEGB7##AJ7NSZOAFP05U##Blog_992769##q1_a1##3QGHA0EA0LEF3763UFDW1H183PMBW3,"I was worried at the time about being mentally unprepared and flunking out , or of being unprepared to juggle all the responsibilities and losing my job , or of something unpredictable happening like my mom dying and not being able to finish what I 'd started . ( I was also afraid I could n't afford it , but getting loans was ridiculously easy . ) None of these things happened , largely because community college is far less challenging than I could possibly have imagined , and so I have an easy success story as my example for taking a risk .",What may have caused you to succeed in community college despite your worries ?,I got loans ridiculously easy .,I was mentally prepared .,My mom took care of my responsibilities so I did n't have to get a job .,The work there was simple .,3,3,[-2.479  -0.0965 -3.047   1.261 ],0,[-16.737959 -23.863863 -25.268505 -20.726152]
3TC2K6WK9G0VV4BITLSFUA7AYVO82R##3C44YUNSI2N6QQ692UK91ZPSX6SPD0##AO33H4GL9KZX9##Blog_1238109##q1_a1##35YHTYFL1IHS1ZIE97UWY59FB61FVO,On Sunday we went canoeing and kayaking on the river . We chose to go upstream which was also against the wind . We stopped on an island in the middle of the river and had lunch snacks there .,What must true of how fast the river flowed ?,The river could not have flowed faster than we could row downstream .,The river could have flowed faster than we could row upstream .,The river could not have flowed faster than we could row upstream .,None of the above choices .,2,3,[-2.598 -3.19  -2.41  -2.402],1,[-27.631607 -26.298384 -27.731722 -27.509392]
3VJ4PFXFJ35IY4DZ93MZWK8X75PAUN##3EJJQNKU9S38EJRQ1I7OXF45PR4HR9##A2LTOS0AZ3B28A##Blog_212243##q1_a2##35XW21VSVISY9ZB61NSPIVUS9WBSLF,"So I took Mom out to dinner for Mother 's Day tonight ( since I 'll be busy tomorrow with Sam coming back from New Brunswick ) , after finally managing to get her to choose what sort of food she actually wanted to eat . We went to the Fish Market in Byward , somewhere I 'd always wanted to try , and it turned out rather well all told . I liked my blackened Cajun swordfish , and it was very generously seasonedThe Market in general was bustling , even more than I expected for a Saturday night in May. I guess this winter gave the entire city an acute case of cabin fever .",Why did they take their mom out to eat ?,None of the above choices .,They could n't decide what to eat at home .,They wanted to go watch people at the Market .,Mom wanted to eat Fish and they took her out .,3,0,[-2.738 -3.66  -5.8   -3.1  ],1,[-25.631641 -21.325369 -32.03423  -22.385315]
3VJ4PFXFJ35IY4DZ93MZWK8X75PAUN##3EJJQNKU9S38EJRQ1I7OXF45PR4HR9##A2LTOS0AZ3B28A##Blog_212243##q2_a1##3YCT0L9OMONOXZERD084VNYHERBNSC,"So I took Mom out to dinner for Mother 's Day tonight ( since I 'll be busy tomorrow with Sam coming back from New Brunswick ) , after finally managing to get her to choose what sort of food she actually wanted to eat . We went to the Fish Market in Byward , somewhere I 'd always wanted to try , and it turned out rather well all told . I liked my blackened Cajun swordfish , and it was very generously seasonedThe Market in general was bustling , even more than I expected for a Saturday night in May. I guess this winter gave the entire city an acute case of cabin fever .",Where did they decide to go to eat ?,None of the above choices .,Fish Market in Byward since they always wanted to try it .,"Mom could n't make a decision , so they went back home .",They went to New Brunswick to eat with Sam .,1,0,[-2.979 -4.176 -3.215 -4.008],2,[-25.911491 -24.1477   -23.099447 -32.18268 ]
3VJ4PFXFJ35IY4DZ93MZWK8X75PAUN##3EJJQNKU9S38EJRQ1I7OXF45PR4HR9##A2LTOS0AZ3B28A##Blog_212243##q2_a1##3IQ9O0AYW8DXYYGF5K020KYMUBVITG,"So I took Mom out to dinner for Mother 's Day tonight ( since I 'll be busy tomorrow with Sam coming back from New Brunswick ) , after finally managing to get her to choose what sort of food she actually wanted to eat . We went to the Fish Market in Byward , somewhere I 'd always wanted to try , and it turned out rather well all told . I liked my blackened Cajun swordfish , and it was very generously seasonedThe Market in general was bustling , even more than I expected for a Saturday night in May. I guess this winter gave the entire city an acute case of cabin fever .",Where did they decide to go to eat ?,None of the above choices .,At the Market so they could eat blackened Cajun swordfish .,They went to New Brunswick to eat with Sam .,"Mom could n't make a decision , so they went back home .",1,0,[-2.979 -3.213 -4.008 -3.215],3,[-25.911491 -31.106281 -32.18268  -23.099447]
32K26U12DNMG9Q5BY3N6I7IM6LEVDU##3M1CVSFP613TSV4CIX8WB37WH52AQ7##A1OPGPTQJ48XOY##Blog_1536504##q1_a1##375VSR8FVYN6D9SX1ZJT000U26FZR2,"today was my first real day of going over a few poems for my senior projects . not too bad , although there are things i really to consider . i ' m tireddd , but i know i should at least write something for the night so i ' m about to start . apart from this nothing much is going on except that our economy is shot to shit and andy is wondering how william and i are going to afford to have a wedding.i finally read the joyluck club and i loved it .",What will happen if you are unable to have a wedding ?,We will have to break off our engagement because we are not financially stable enough to get married,We will have to postpone getting married until we can afford a wedding,"We will have a smaller thing and save money instead , like getting married at town hall",We will have to borrow from friends and family to pay for a wedding,2,0,[ 3.213 -1.155 -1.426 -2.295],0,[-17.85635  -23.13628  -26.584965 -20.33921 ]
3SSN80MU8CMGRLGGQZABA5AX65KKX0##320DUZ38G8KDGZD297GXAO6D14WJG8##A2KYOM2ZGYDJGT##Blog_6648##q1_a1##31MBOZ6PAQ5I2IMA412P3QQANW4CLQ,I was afraid I would take a loss on it by selling it on Ebay . I got a lot of little things done today . I hung the ceiling fixture and put on all of the face plates . I cleaned up and put away all of the tools to get ready for sanding the floor tomorrow .,Why was the writer afraid they would take a loss selling it on eBay ?,Because they hung on the ceiling fixture .,Because they may have arrived at a selling price that 's too low .,Because the writer got little things done today .,None of the above choices .,1,1,[-4.11    3.111  -4.62   -0.3552],3,[-31.23218  -25.19605  -31.843102 -24.665768]
3K3G488TR26T05U1XYBDE8VMCRGQ5W##3634BBTX0PSB7OX1G5PFG2R1PDWFIQ##A3GVXFBYAU9HP##Blog_151180##q1_a1##3WGZLY9VCJ0XS385A8OWIRMMO3I8DF,"I think that before my life revolved around books and writing . Then I hit the real world and now with a job and classes ... I just do n't have the energy to use my imagination . I still miss it though . I do n't want to be a professional ( not that I could ) , but I did really enjoy it .",Why do n't I have the energy to use my imagination to write anymore ?,"I got a full time job and work a lot , so I am busy and tired .","I had to get two jobs and work constantly , so I am busy all the time .","I started college and have a lot of homework , so I am busy and tired .","I started college classes and got a part time job , so I am busy all the time .",3,0,[3.516  0.8745 3.139  1.559 ],2,[-13.859129 -16.341734 -13.47456  -13.937119]
3WGZLY9VCHKIYE9YQACWQTYEVOBD87##3CN4LGXD5YMNZ8FH06FZBMOYPFV4YO##A394JO4NEPCY3M##Blog_818163##q1_a1##3SD15I2WD48C6XNKO4LML44JRQB36O,"At some point , I can finally see the doors - those three women are getting on the bus . Then , the doors close . The bus is full . Got ta wait for the next one . At that point , I just had to give up .",What may have happened if three women had not gotten on the bus ?,They would have caught that bus,They would n't have caught that bus,None of the above choices .,The bus would have been full,0,1,[-0.2942  1.121  -2.066   0.6167],3,[-27.645924 -19.896826 -24.915518 -19.359892]
3WGZLY9VCHKIYE9YQACWQTYEVOBD87##3CN4LGXD5YMNZ8FH06FZBMOYPFV4YO##A394JO4NEPCY3M##Blog_818163##q1_a2##32L724R85NYZ66N8O3RIVAXP5DXIP8,"At some point , I can finally see the doors - those three women are getting on the bus . Then , the doors close . The bus is full . Got ta wait for the next one . At that point , I just had to give up .",What may have happened if three women had not gotten on the bus ?,They would n't have caught that bus,They would n't have to wait for the next bus,The bus would have been full,None of the above choices .,1,1,[ 1.121   1.455   0.6167 -2.066 ],2,[-19.896826 -21.952435 -19.359892 -24.915518]
31HLTCK4BLTJLAF20TOEOSLJJS9GVY##3ZR9AIQJUC7Q2DJWSY4QJUUEETI408##A2LTOS0AZ3B28A##Blog_1318504##q2_a1##3D42WVSDHA995TDJEIHG54D9TV0FYA,Somewhere in my 20 's I decided to through caution to the wind - thew my head back and guffawed with all my being . I have scared many an old lady with that laugh . They jump a mile high then look around expecting to find a large Texas man only to find ... me .,Why did they throw caution to the wind ?,They were in their 20 's and did n't care anymore .,They were tired of hiding their laugh .,They love old ladies and are n't afraid to show it .,They want to jump a mile high .,1,1,[-4.766 -2.701 -3.791 -5.324],0,[-20.659231 -20.888874 -26.461578 -31.816633]
